2016-11-10,63361
2014-08-08,477
2016-06-01,38473
2017-03-18,2586
2016-07-08,31007
2014-06-05,8939
2016-06-23,17330
2016-04-25,12139
2015-08-06,2944
2017-08-17,7667
2018-04-08,2617
2016-07-02,5316
2015-05-15,1206
2015-06-08,1166
2015-07-01,15682
2017-12-08,2958
2018-01-08,10823
2016-06-29,7880
2016-03-14,5993
2016-01-11,3894
2016-07-01,21069
2016-04-20,5278
2015-06-25,6403
2014-12-18,6628
2016-04-29,2679
2017-06-26,2987
2017-11-26,8197
2018-01-24,43329
2016-08-11,15890
2015-12-31,1210
2016-12-16,24948
2016-09-27,1220
2017-06-13,3832
2017-09-30,2614
2014-12-04,3449
2017-05-13,1923
2016-02-16,2637
2015-12-30,1064
2017-03-20,24567
2017-02-08,25557
2018-03-07,41882
2017-11-19,8048
2018-05-29,12807
2015-12-08,2754
2015-05-28,893
2018-03-28,31159
2013-10-10,21
2017-02-04,3480
2016-04-01,4787
2016-07-29,1980
2018-01-27,6958
2014-11-10,1216
2014-12-05,8957
2017-02-09,12997
2016-12-11,1119
2018-03-22,8886
2016-11-11,9227
2017-10-23,2469
2015-06-07,2467
2015-12-18,849
2016-01-03,304
2017-08-29,6493
2016-07-11,768
2017-05-02,10453
2016-07-31,31503
2016-04-07,1976
2014-10-07,3023
2015-12-09,1705
2015-10-30,4346
2018-02-17,4395
2014-09-30,393
2017-04-19,1262
2017-08-19,3697
2015-05-11,2943
2015-10-11,2609
2015-03-07,2638
2016-11-26,10865
2018-03-29,4813
2016-03-17,20284
2018-02-22,6033
2017-08-28,20879
2014-11-30,898
2017-02-01,912
2018-01-01,6433
2017-03-30,6565
2017-09-07,16485
2014-05-06,2913
2018-01-15,12917
2017-07-21,9731
2017-04-28,15897
2016-06-16,12602
2018-05-10,17728
2017-09-11,1101
2017-09-12,1351
2016-03-05,2287
2018-02-09,4089
2017-07-12,6310
2016-08-16,876
2016-04-24,29215
2015-04-28,475
2017-10-18,3740
2015-03-09,1254
2015-10-21,2360
2017-07-02,6218
2015-12-27,1269
2016-08-12,1837
2017-02-22,3233
2015-12-26,1154
2016-03-16,11122
2015-12-03,4273
2014-11-17,978
2016-05-27,4736
2015-08-03,1465
2016-12-19,5475
2018-04-17,6114
2017-01-10,3013
2018-02-27,2721
2015-08-15,5399
2016-10-01,21477
2016-08-08,13660
2017-06-25,8552
2016-01-29,1579
2016-01-24,1514
2016-06-02,25097
2014-12-12,6742
2017-10-15,10586
2017-01-15,2151
2017-02-10,18810
2015-07-02,8508
2016-10-25,31728
2016-04-26,14491
2016-01-16,7156
2018-01-19,18039
2018-04-14,15798
2017-04-11,9866
2017-05-25,12863
2017-10-13,12074
2017-01-03,9034
2017-05-24,13782
2015-03-04,2254
2018-04-26,12673
2018-05-24,49951
2017-12-07,7659
2017-04-24,2100
2017-04-05,23931
2018-04-21,11248
2015-11-06,6921
2018-04-09,16733
2017-01-08,5694
2016-11-08,4761
2016-10-04,21837
2018-01-10,26871
2016-02-26,2167
2017-03-28,4887
2018-05-19,5629
2015-06-29,3446
2018-01-02,8495
2018-02-08,12002
2018-02-25,3945
2015-01-21,4417
2016-07-15,1094
2015-05-12,1492
2014-07-19,4535
2018-02-05,24461
2017-11-07,2929
2016-06-15,3628
2015-05-26,1034
2015-03-13,7085
2017-05-05,4181
2017-06-05,6173
2016-09-14,4033
2017-12-28,3119
2017-02-03,5966
2018-02-15,5876
2016-07-25,3014
2016-05-26,5320
2014-10-15,1105
2015-06-26,5842
2017-04-14,2083
2016-05-10,3111
2017-06-23,1420
2015-04-15,2593
